Year,HvyTrkIcevMpg,HvyTrkHevMpg,HvyTrkBevMpkwh
1990,5.800145564,NA,NA
1995,5.890939031,NA,NA
2000,6.016046746,NA,NA
2005,6.177355638,NA,NA
2010,5.788269106,7.68,0.4
2015,5.901034608,7.68,0.4
2020,6.210791899,8.16,0.5
2025,6.713160055,8.16,0.5
2030,7.435806799,8.4,0.5
2035,8.009236518,8.4,0.5
2040,8.357827372,8.64,0.5
2045,8.606157851,8.64,0.5
2050,8.791922999,8.88,0.5
