Geo,Year,HHIncomePC.2005,GQIncomePC.2005
Umatilla,2020,18927,0
Union,2020,19736,0
Wallowa,2020,21169,0
Wasco,2020,20868,0
Washington,2020,25883,0
Wheeler,2020,16870,0
Yamhill,2020,20891,0
Baker,2025,19218,0
Benton,2025,24248,0
Clackamas,2025,29492,0
Clatsop,2025,21947,0
Columbia,2025,21449,0
Coos,2025,20452,0
Crook,2025,18744,0
Curry,2025,20808,0
Deschutes,2025,23845,0
Douglas,2025,19717,0
Gilliam,2025,22588,0
Grant,2025,19313,0
Harney,2025,18578,0
Hood River,2025,22208,0
Jackson,2025,22398,0
Jefferson,2025,17652,0
Josephine,2025,19171,0
Klamath,2025,18957,0
Lake,2025,19385,0
Lane,2025,21900,0
Lincoln,2025,21900,0
Linn,2025,19005,0
Malheur,2025,15873,0
Marion,2025,21686,0
Morrow,2025,22920,0
Multnomah,2025,26123,0
Polk,2025,20215,0
Sherman,2025,31366,0
Tillamook,2025,21520,0
Umatilla,2025,19432,0
Union,2025,20262,0
Wallowa,2025,21733,0
Wasco,2025,21425,0
Washington,2025,26574,0
Wheeler,2025,17320,0
Yamhill,2025,21449,0
Baker,2030,19718,0
Benton,2030,24879,0
Clackamas,2030,30259,0
Clatsop,2030,22517,0
Columbia,2030,22006,0
Coos,2030,20984,0
Crook,2030,19231,0
Curry,2030,21349,0
Deschutes,2030,24465,0
Douglas,2030,20229,0
Gilliam,2030,23175,0
Grant,2030,19815,0
Harney,2030,19061,0
Hood River,2030,22785,0
Jackson,2030,22980,0
Jefferson,2030,18111,0
Josephine,2030,19669,0
Klamath,2030,19450,0
Lake,2030,19888,0
Lane,2030,22469,0
Lincoln,2030,22469,0
Linn,2030,19499,0
Malheur,2030,16286,0
Marion,2030,22250,0
Morrow,2030,23516,0
Multnomah,2030,26802,0
Polk,2030,20740,0
Sherman,2030,32182,0
Tillamook,2030,22079,0
Umatilla,2030,19937,0
Union,2030,20789,0
Wallowa,2030,22298,0
Wasco,2030,21982,0
Washington,2030,27264,0
Wheeler,2030,17771,0
Yamhill,2030,22006,0
Baker,2035,20619,0
Benton,2035,26015,0
Clackamas,2035,31641,0
Clatsop,2035,23546,0
Columbia,2035,23011,0
Coos,2035,21942,0
Crook,2035,20109,0
Curry,2035,22324,0
Deschutes,2035,25582,0
Douglas,2035,21153,0
Gilliam,2035,24233,0
Grant,2035,20720,0
Harney,2035,19931,0
Hood River,2035,23826,0
Jackson,2035,24030,0
Jefferson,2035,18939,0
Josephine,2035,20568,0
Klamath,2035,20339,0
Lake,2035,20797,0
Lane,2035,23495,0
Lincoln,2035,23495,0
Linn,2035,20389,0
Malheur,2035,17029,0
Marion,2035,23266,0
Morrow,2035,24590,0
Multnomah,2035,28026,0
Polk,2035,21688,0
Sherman,2035,33651,0
Tillamook,2035,23088,0
Umatilla,2035,20848,0
Union,2035,21739,0
Wallowa,2035,23317,0
Wasco,2035,22986,0
Washington,2035,28510,0
Wheeler,2035,18582,0
Yamhill,2035,23011,0
Baker,2040,21192,0
Benton,2040,26739,0
Clackamas,2040,32521,0
Clatsop,2040,24201,0
Columbia,2040,23651,0
Coos,2040,22553,0
Crook,2040,20669,0
Curry,2040,22945,0
Deschutes,2040,26294,0
Douglas,2040,21741,0
Gilliam,2040,24907,0
Grant,2040,21297,0
Harney,2040,20486,0
Hood River,2040,24489,0
Jackson,2040,24698,0
Jefferson,2040,19465,0
Josephine,2040,21140,0
Klamath,2040,20904,0
Lake,2040,21375,0
Lane,2040,24148,0
Lincoln,2040,24148,0
Linn,2040,20957,0
Malheur,2040,17503,0
Marion,2040,23913,0
Morrow,2040,25274,0
Multnomah,2040,28806,0
Polk,2040,22291,0
Sherman,2040,34588,0
Tillamook,2040,23730,0
Umatilla,2040,21428,0
Union,2040,22343,0
Wallowa,2040,23965,0
Wasco,2040,23625,0
Washington,2040,29303,0
Wheeler,2040,19099,0
Yamhill,2040,23651,0
Baker,2045,21766,0
Benton,2045,27462,0
Clackamas,2045,33401,0
Clatsop,2045,24856,0
Columbia,2045,24291,0
Coos,2045,23163,0
Crook,2045,21228,0
Curry,2045,23566,0
Deschutes,2045,27005,0
Douglas,2045,22330,0
Gilliam,2045,25581,0
Grant,2045,21873,0
Harney,2045,21040,0
Hood River,2045,25151,0
Jackson,2045,25366,0
Jefferson,2045,19992,0
Josephine,2045,21712,0
Klamath,2045,21470,0
Lake,2045,21954,0
Lane,2045,24802,0
Lincoln,2045,24802,0
Linn,2045,21524,0
Malheur,2045,17977,0
Marion,2045,24560,0
Morrow,2045,25958,0
Multnomah,2045,29585,0
Polk,2045,22894,0
Sherman,2045,35524,0
Tillamook,2045,24372,0
Umatilla,2045,22007,0
Union,2045,22948,0
Wallowa,2045,24614,0
Wasco,2045,24265,0
Washington,2045,30096,0
Wheeler,2045,19616,0
Yamhill,2045,24291,0
Baker,2050,22534,0
Benton,2050,28432,0
Clackamas,2050,34581,0
Clatsop,2050,25734,0
Columbia,2050,25150,0
Coos,2050,23981,0
Crook,2050,21978,0
Curry,2050,24398,0
Deschutes,2050,27959,0
Douglas,2050,23119,0
Gilliam,2050,26485,0
Grant,2050,22646,0
Harney,2050,21783,0
Hood River,2050,26040,0
Jackson,2050,26262,0
Jefferson,2050,20698,0
Josephine,2050,22479,0
Klamath,2050,22228,0
Lake,2050,22729,0
Lane,2050,25678,0
Lincoln,2050,25678,0
Linn,2050,22284,0
Malheur,2050,18612,0
Marion,2050,25428,0
Morrow,2050,26874,0
Multnomah,2050,30630,0
Polk,2050,23703,0
Sherman,2050,36778,0
Tillamook,2050,25233,0
Umatilla,2050,22785,0
Union,2050,23759,0
Wallowa,2050,25483,0
Wasco,2050,25122,0
Washington,2050,31159,0
Wheeler,2050,20309,0
Yamhill,2050,25150,0
