Year,AutoPropGasoline,AutoPropDiesel,AutoPropCng,LtTrkPropGasoline,LtTrkPropDiesel,LtTrkPropCng
1990,1,0,0,0.96,0.04,0
1995,1,0,0,0.96,0.04,0
2000,1,0,0,0.96,0.04,0
2005,1,0,0,0.96,0.04,0
2010,1,0,0,0.96,0.04,0
2015,1,0,0,0.96,0.04,0
2020,0.95,0,0.05,0.91,0.04,0.05
2025,0.9,0,0.1,0.87,0.03,0.1
2030,0.8,0,0.2,0.78,0.02,0.2
2035,0.6,0,0.4,0.59,0.01,0.4
2040,0.4,0,0.6,0.4,0,0.6
2045,0.2,0,0.8,0.2,0,0.8
2050,0,0,1,0,0,1
