Year,AutoPropIcev,AutoPropHev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropBev
1990,1,0,0,1,0,0
1995,1,0,0,1,0,0
2000,1,0,0,1,0,0
2005,1,0,0,1,0,0
2010,1,0,0,1,0,0
2015,0.987,0.013,0,0.991,0.009,0
2020,0.929,0.071,0,0.947,0.053,0
2025,0.767,0.225,0.008,0.825,0.168,0.007
2030,0.547,0.416,0.037,0.654,0.313,0.033
2035,0.336,0.574,0.09,0.484,0.436,0.08
2040,0.175,0.643,0.182,0.345,0.494,0.161
2045,0.079,0.592,0.329,0.24,0.469,0.291
2050,0.031,0.429,0.54,0.156,0.367,0.477
