Year,HvyTrkPropIcev,HvyTrkPropHev,HvyTrkPropBev
1990,1,0,0
1995,1,0,0
2000,1,0,0
2005,1,0,0
2010,1,0,0
2015,1,0,0
2020,1,0,0
2025,1,0,0
2030,0.94,0.05,0.01
2035,0.88,0.1,0.02
2040,0.82,0.15,0.03
2045,0.75,0.2,0.05
2050,0.68,0.25,0.07
