Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Lincoln,2040,7074.811221,2485.094687,5027.127987,15195.60692,7709.939541,16510.92509
Linn,2040,24752,8362,15256,41653,16365,30377.90577
Malheur,2040,6385.356775,2133.722471,3908.670485,9230.44512,3473.764929,6866.085817
Marion,2040,85403,28624,53504,126460,46209,85587.44021
Morrow,2040,3043.121375,1026.000519,1497.560509,3637.383943,1616.174124,3328.199223
Multnomah,2040,162938.4497,55374.86542,148103.019,367366.6826,133607.5011,223244.1008
Polk,2040,21161.63438,8010.403179,14747.01207,34127.99489,12745.20836,21199.16335
Sherman,2040,278.021616,97.49039159,128.9701996,386.1470761,267.3813826,676.0450585
Tillamook,2040,4522.99448,1550.652823,2494.930512,8167.050956,4181.673307,8522.155088
Umatilla,2040,20533.18666,6798.923362,12273.48285,29855.80735,10662.22845,18121.30177
Union,2040,5343.69667,2018.685388,3948.938777,7896.187945,3305.176582,7633.885701
Wallowa,2040,942.8416987,312.3175681,442.1509087,1458.288018,1094.330033,2835.206022
Wasco,2040,6080.116288,2039.184984,3486.603568,9336.390009,3952.066736,7134.731923
Washington,2040,144008.6802,44967.13242,89855.05252,262038.5947,82468.35774,138228.4737
Wheeler,2040,184.0576762,77.60577741,97.50750008,266.6101767,216.711649,470.6161437
Yamhill,2040,24641.29529,9455.753919,16378.08808,43161.15658,16300.89077,32373.91868
Baker,2045,2822.542961,965.4940113,1359.56938,4133.998185,2180.025623,5033.374145
Benton,2045,15265,11058,25451,35044,14394,25869.31801
Clackamas,2045,79934.69103,29921.71697,45804.63986,157847.362,72537.56149,136789.991
Clatsop,2045,6529.738453,2288.492806,3961.665428,11493.29048,5788.663652,11005.13465
Columbia,2045,10300.65862,3446.890675,5786.68169,21977.52465,8139.216934,14779.10641
Coos,2045,9015.298888,3284.68752,5589.389518,16768.31529,9228.230013,19998.244
Crook,2045,2865.100055,1076.169016,1472.520807,6021.001751,3876.288629,9650.500412
Curry,2045,2745.281272,993.2656705,1549.738179,6627.398242,5055.979535,10041.45825
Deschutes,2045,45083.94267,16613.02041,30548.82749,89886.63377,34878.91472,68896.32475
Douglas,2045,18581.02467,6979.27032,11839.85583,38973.32136,21285.58895,42611.67602
Gilliam,2045,464.8830382,137.962063,150.7538542,387.3222762,259.8442317,844.9073465
Grant,2045,883.1371951,305.7619634,398.7765941,1254.685994,834.6746073,3085.794243
Harney,2045,1404.146904,488.7639223,640.7496262,1645.407482,741.4118195,2021.364163
Hood River,2045,5835.751162,2052.475979,3340.52775,10224.9445,4095.359631,7972.222495
Jackson,2045,36283,12790,24995,79591,38531,86683.80023
Jefferson,2045,4686.750014,1578.35871,2657.204971,7718.914369,3988.307871,9239.214596
Josephine,2045,13550,4945,8189,27732,14146,33412.99714
Klamath,2045,9741.263488,3340.65951,6564.058268,20317.6471,10271.47869,21458.90979
Lake,2045,1145.419404,407.9068201,588.4084133,2267.300659,1389.205854,3208.966277
Lane,2045,62049.08353,28625.1042,63583.68835,124312.4006,53814.03266,122900.9539
Lincoln,2045,7316.98448,2560.784424,4752.342045,15852.63918,8125.989635,16476.55933
Linn,2045,25362,8450,15844,43033,17312,31567.79008
Malheur,2045,6348.749731,2135.676108,3986.835101,9191.445649,3413.100963,6938.035179
Marion,2045,88459,29516,55693,130670,48425,89246.84151
Morrow,2045,3171.812124,1071.299075,1585.43227,3928.987241,1476.932464,3379.401219
Multnomah,2045,169497.2982,58095.3064,155130.4319,381286.4903,136757.924,245108.4926
Polk,2045,22259.68413,8376.084731,15210.85948,36480.54389,13753.52683,22716.20427
Sherman,2045,289.3283664,96.07003371,122.7357026,388.8313076,255.1301979,668.8798379
Tillamook,2045,4674.367526,1587.824212,2404.231959,8342.501119,4382.512044,8611.638338
Umatilla,2045,21218.22801,7132.58592,12871.48043,31290.11325,10922.86676,18363.11271
Union,2045,5480.939528,2084.127505,4028.419799,8104.58788,3406.489478,7506.325545
Wallowa,2045,1003.329451,325.0428664,419.0101387,1524.395875,1072.020454,2728.615739
Wasco,2045,6338.249098,2144.000838,3599.253968,9834.751562,4077.773631,7081.884183
Washington,2045,149773.8428,47187.42753,94714.6656,272729.6707,83711.29195,149659.6991
Wheeler,2045,190.5528935,73.38864219,88.29042575,283.9962551,198.3837174,441.8358251
Yamhill,2045,25413.84647,9781.520535,16957.13501,45208.35867,17300.62837,34488.58791
Baker,2050,2879.493282,1005.735559,1362.015639,4224.221181,1973.34725,5010.770665
Benton,2050,15373,11154,26284,35002,15044,27201.74617
Clackamas,2050,81617.02083,30739.69706,47429.23988,161827.3285,72992.46693,146511.6263
Clatsop,2050,6621.314963,2355.876096,3953.214944,11470.58882,5639.070011,11346.53443
Columbia,2050,10487.85959,3486.076229,5905.825465,22260.14714,8894.422916,15202.60971
Coos,2050,8961.319366,3294.193391,5490.834184,16647.49188,8743.802981,20710.81372
Crook,2050,2733.257195,1060.575704,1425.664595,6205.133281,3571.863451,10243.03404
Curry,2050,2738.354867,995.0035932,1562.003028,6328.153311,4877.356904,10652.35205
Deschutes,2050,47318.85754,17874.83006,30979.46071,98025.13665,34016.21288,75797.41229
Douglas,2050,18335.54159,6929.329681,12091.10028,38860.19919,21652.91143,45675.87192
Gilliam,2050,508.2285308,157.5035521,159.1734984,415.5740461,213.5680489,832.8914679
Grant,2050,893.5389346,318.6788174,396.2519146,1284.884792,693.6143353,3020.990613
Harney,2050,1447.530449,500.2396489,642.4424789,1665.075906,701.5178961,1933.697927
Hood River,2050,6030.362081,2138.422075,3536.935453,10715.2284,4166.747182,8351.430859
Jackson,2050,35981,12770,25132,79165,40343,93732.94292
Jefferson,2050,4771.655593,1590.900547,2687.174739,7839.352947,4144.315832,9751.738948
Josephine,2050,13608,5038,8388,27985,14719,35164.78325
Klamath,2050,9392.51273,3207.018372,6341.281571,19279.30854,11056.91561,21947.27946
Lake,2050,1161.621104,425.5432659,581.4953874,2283.082909,1264.118225,3424.825861
Lane,2050,63265.48287,29133.59977,64851.57749,126847.7206,55921.62217,129098.3206
Lincoln,2050,7445.709313,2695.143974,4860.568127,16420.0659,8003.094399,16835.75812
Linn,2050,26073,8569,16082,44514,17927,33335.19848
Malheur,2050,6334.986069,2125.738654,4013.875853,9144.234829,3448.46747,6953.884159
Marion,2050,91756,30493,57545,135775,50334,92715.98905
Morrow,2050,3301.663081,1107.788286,1657.490768,4041.524689,1529.455746,3450.428574
Multnomah,2050,176056.1467,60815.74739,162157.8448,395206.2981,139908.3469,266972.8845
Polk,2050,23341.24273,8709.126386,15752.72865,38817.60792,14570.45236,24619.23109
Sherman,2050,303.3406474,102.9158254,121.3571729,422.7089695,198.9351773,657.7642546
Tillamook,2050,4748.063069,1674.046593,2438.842003,8505.961357,4350.074428,8877.743539
Umatilla,2050,21902.69876,7397.741536,13515.93875,32319.48422,11226.84036,19118.35021
Union,2050,5542.740735,2165.932277,4110.283365,8217.331571,3610.937667,7396.321357
Wallowa,2050,1024.269662,345.5896634,411.6641452,1628.769712,808.590503,2840.735793
Wasco,2050,6503.312201,2232.421833,3717.737727,10114.2407,4022.481716,7478.248614
Washington,2050,155539.0053,49407.72264,99574.27867,283420.7466,84954.22615,161090.9246
Wheeler,2050,190.8199176,77.67128366,78.26438419,285.7450193,143.9281217,461.2056589
Yamhill,2050,26204.99723,10061.15053,17565.34442,46950.6399,18323.71846,36702.26879
