Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Klamath,2005,12919,4834,8117,21421,7991,9773
Lake,2005,1264,565,720,2520,1036,1400
Lane,2005,57795,23314,54889,116147,39146,44793
Lincoln,2005,6812,2858,4603,14505,6702,8924
Linn,2005,19974,7111,12125,33009,11501,14132
Malheur,2005,6951,2309,4514,10652,3100,4274
Marion,2005,67946,22115,44137,104222,30384,35968
Morrow,2005,2915,924,1572,3994,1221,1319
Multnomah,2005,129869,41133,99664,277854,71658,72648
Polk,2005,12629,4961,10665,20754,7273,9388
Sherman,2005,298,184,187,596,246,369
Tillamook,2005,4045,1641,2721,8012,3651,5135
Umatilla,2005,16094,5250,9956,24976,7350,8769
Union,2005,4636,1867,4147,7629,2946,3724
Wallowa,2005,1078,591,641,2305,1066,1449
Wasco,2005,4678,1701,2700,7837,3079,3939
Washington,2005,110226,32050,67486,191528,45485,43011
Wheeler,2005,201,116,128,448,246,411
Yamhill,2005,18606,6801,14248,31594,8981,10081
Baker,2010,2596.552173,959.9560774,1540.43275,4938.483624,2656.019096,3493.556278
Benton,2010,13246,9413,20777,26892,11560,11211
Clackamas,2010,72392,26015,40587,131705,54061,51233
Clatsop,2010,6230.663748,2370.807915,4593.821668,11649.69284,6156.28486,6068.728964
Columbia,2010,9521.369464,3370.626824,5043.706256,17057.35103,7376.623897,7060.322531
Coos,2010,9720.252741,3835.540941,6628.342775,19075.50461,10394.29593,13381.063
Crook,2010,3853.23521,1258.853345,1979.748312,6569.686146,3264.038308,4094.438681
Curry,2010,2787.132963,1102.877333,1787.044156,6061.299779,4267.77743,6348.868338
Deschutes,2010,29633.21018,9595.406544,18292.15013,54384.76094,22587.76693,23411.70528
Douglas,2010,17907.51143,6819.710447,11413.08093,32467.78213,16955.29956,22126.61551
Gilliam,2010,277.6549273,109.155985,140.2808511,617.3312078,320.5462597,405.0307691
Grant,2010,1170.616226,431.8370847,637.5340354,2200.56607,1312.083952,1707.362631
Harney,2010,1301.537009,525.6631021,737.0741288,2338.597433,1170.818784,1371.309543
Hood River,2010,4747.603834,1539.648635,2574.953843,7956.856968,2748.322359,2817.614362
Jackson,2010,37235,13529,25352,64531,30634,36059.93848
Jefferson,2010,4511.087342,1538.256174,2511.677602,6923.108322,2869.606555,3396.264004
Josephine,2010,12941,4921,7744,23122,12672,17374.06152
Klamath,2010,12269.93727,4575.699322,8066.187784,20507.51097,9837.513657,11248.15099
Lake,2010,1158.796823,479.8392186,741.5510829,2599.752867,1324.278418,1585.78159
Lane,2010,57656.77593,24794.02719,54170.08191,112625.2976,49960.4429,52803.37451
Lincoln,2010,6500.998855,2393.976332,4475.702974,13968.65547,8746.631609,10049.03476
Linn,2010,21438,7165,12867,34111,14456,16191
Malheur,2010,6602.600919,2251.507901,4178.515561,10074.38114,3612.906493,4625.087987
Marion,2010,69672,23792,44356,103325,37105,40898
Morrow,2010,2619.799407,893.9967647,1283.81102,3574.674635,1423.371994,1379.346179
Multnomah,2010,127423,41436,123046,278236,87769,77424
Polk,2010,15119.98268,5950.535693,10729.00292,22989.37826,9881.587358,10824.51308
Sherman,2010,286.6786506,94.65746134,169.2412779,556.4619657,270.9076719,387.0529725
Tillamook,2010,3934.676768,1478.178535,2450.838301,7641.369903,4380.186022,5374.750471
Umatilla,2010,16585.87743,5621.799196,10238.2445,24586.19655,9204.244427,9763.637897
Union,2010,4811.436389,1909.928873,3566.824892,7500.874662,3720.434751,4300.500433
Wallowa,2010,1096.324687,317.5188918,656.0788341,2009.739862,1331.956916,1593.380809
Wasco,2010,4849.110288,1676.28965,2897.491315,7683.880101,3745.146685,4383.081961
Washington,2010,113829,34172,72678,197655,58268,53108
Wheeler,2010,212.1489255,76.38948937,94.12712727,365.8605482,249.6593214,441.8145883
Yamhill,2010,20258.21078,7757.682556,13350.25775,32993.95894,11981.3192,13063.57078
Baker,2015,2651.029628,835.559077,1448.814552,4660.962589,2747.147293,3891.031114
Benton,2015,12568,9476,21788,26114,12079,13537.84368
