Geo,Year,AutoMeanAge,LtTrkMeanAge
Clackamas,2010,10.56368715,10.55344532
Clatsop,2010,10.5397984,10.65078621
Columbia,2010,10.53493677,10.58100416
Coos,2010,10.56327021,10.49000268
Crook,2010,10.49499393,10.57996485
Curry,2010,10.46974541,10.63453041
Deschutes,2010,10.52402971,10.54986786
Douglas,2010,10.55782994,10.55307947
Gilliam,2010,10.33851468,10.69942748
Grant,2010,10.59656453,10.55899638
Harney,2010,10.47865854,10.73181325
Hood River,2010,10.49808073,10.52717715
Jackson,2010,10.57655337,10.5944779
Jefferson,2010,10.572681,10.47512802
Josephine,2010,10.54225157,10.58301065
Klamath,2010,10.56540797,10.49082284
Lake,2010,10.37477231,10.77544725
Lane,2010,10.5383218,10.54058114
Lincoln,2010,10.55243328,10.63250235
Linn,2010,10.55007576,10.59020468
Malheur,2010,10.64127163,10.59374796
Marion,2010,10.55233948,10.56141808
Morrow,2010,10.69387216,10.56746032
Multnomah,2010,10.54253166,10.54436352
Polk,2010,10.55205715,10.56482436
Sherman,2010,10.93865031,10.38300221
Tillamook,2010,10.57359974,10.68020305
Umatilla,2010,10.53103961,10.52940353
Union,2010,10.52713533,10.62874659
Wallowa,2010,10.38138594,10.5421065
Wasco,2010,10.55963584,10.52986529
Washington,2010,10.5448273,10.53095045
Wheeler,2010,10.6716792,10.42298578
Yamhill,2010,10.55936909,10.59274725
Baker,2015,10.41010816,10.24385604
Benton,2015,10.31921041,10.33395656
Clackamas,2015,10.31268226,10.32458898
Clatsop,2015,10.28541434,10.42038578
Columbia,2015,10.33567412,10.34260232
Coos,2015,10.30741325,10.29556332
Crook,2015,10.28918508,10.3483898
Curry,2015,10.33408599,10.37465501
Deschutes,2015,10.29569069,10.32811501
Douglas,2015,10.29073709,10.34429037
Gilliam,2015,10.23660428,10.55173996
Grant,2015,10.27947228,10.39681027
Harney,2015,10.22169123,10.34984374
Hood River,2015,10.28051261,10.32545621
Jackson,2015,10.34016807,10.37232287
Jefferson,2015,10.38099741,10.25061421
Josephine,2015,10.28490532,10.34647131
Klamath,2015,10.30677664,10.31902682
Lake,2015,10.18343433,10.39583819
Lane,2015,10.30373152,10.31273808
Lincoln,2015,10.33552216,10.40035246
Linn,2015,10.32126163,10.34886792
Malheur,2015,10.38576122,10.36651054
Marion,2015,10.29732955,10.3454171
Morrow,2015,10.39368079,10.30937302
Multnomah,2015,10.29612414,10.33958712
Polk,2015,10.32663263,10.34826436
Sherman,2015,10.57386436,10.33165262
Tillamook,2015,10.29176716,10.41109465
Umatilla,2015,10.30812492,10.32422983
Union,2015,10.26300232,10.33274951
Wallowa,2015,10.40462125,10.27208206
Wasco,2015,10.31380376,10.33100039
Washington,2015,10.3075719,10.322969
Wheeler,2015,10.22906877,10.27597253
Yamhill,2015,10.31550755,10.33380115
Baker,2020,10.09099481,9.919160561
Benton,2020,10.12155182,10.10106129
Clackamas,2020,10.06167737,10.09573264
Clatsop,2020,10.03103027,10.18998535
Columbia,2020,10.13641147,10.10420048
Coos,2020,10.05155628,10.10112396
Crook,2020,10.08337622,10.11681474
Curry,2020,10.19842657,10.1147796
Deschutes,2020,10.06735166,10.10636216
Douglas,2020,10.02364424,10.13550126
Gilliam,2020,10.13469388,10.40405244
Grant,2020,9.962380038,10.23462415
Harney,2020,9.964723926,9.967874231
Hood River,2020,10.06294449,10.12373526
Jackson,2020,10.10378277,10.15016783
Jefferson,2020,10.18931381,10.02610039
Josephine,2020,10.02755906,10.10993197
Klamath,2020,10.04814531,10.14723079
Lake,2020,9.992096349,10.01622912
Lane,2020,10.06914124,10.08489501
Lincoln,2020,10.11861104,10.16820256
Linn,2020,10.09244749,10.10753115
Malheur,2020,10.13025081,10.13927312
Marion,2020,10.04231962,10.12941612
Morrow,2020,10.09348942,10.05128571
Multnomah,2020,10.04971661,10.13481072
Polk,2020,10.10120811,10.13170435
Sherman,2020,10.2090784,10.28030303
Tillamook,2020,10.00993458,10.14198625
Umatilla,2020,10.08521023,10.11905613
Union,2020,9.998869311,10.03675242
Wallowa,2020,10.42785655,10.00205761
Wasco,2020,10.06797167,10.13213549
Washington,2020,10.07031649,10.11498754
Wheeler,2020,9.786458333,10.12895928
Yamhill,2020,10.07164601,10.07485505
Baker,2025,9.813666839,9.659353278
Benton,2025,9.78328607,9.789696303
Clackamas,2025,9.732388022,9.789066249
Clatsop,2025,9.712842276,9.85707971
Columbia,2025,9.793096324,9.797148602
Coos,2025,9.704715077,9.798319823
Crook,2025,9.755432483,9.836091023
Curry,2025,9.833060097,9.757985764
Deschutes,2025,9.734807499,9.790584547
Douglas,2025,9.722539284,9.801973172
Gilliam,2025,9.87073787,9.942722203
Grant,2025,9.685210853,9.877423644
Harney,2025,9.716290771,9.721571933
Hood River,2025,9.741508946,9.845839809
Jackson,2025,9.757798508,9.825161706
Jefferson,2025,9.822037946,9.76288802
Josephine,2025,9.728600634,9.796292413
Klamath,2025,9.736523785,9.830156451
Lake,2025,9.721955893,9.771045697
Lane,2025,9.736394376,9.786709458
Lincoln,2025,9.789563575,9.854769615
Linn,2025,9.754766709,9.813858829
Malheur,2025,9.749025867,9.820690029
Marion,2025,9.727011536,9.800837163
Morrow,2025,9.778375663,9.742854717
Multnomah,2025,9.720715912,9.804050026
Polk,2025,9.764624057,9.809885785
Sherman,2025,9.860457464,9.782149993
Tillamook,2025,9.733088695,9.820138745
Umatilla,2025,9.75788671,9.783878426
Union,2025,9.698628614,9.741857194
Wallowa,2025,10.01445632,9.777472369
Wasco,2025,9.735627837,9.789718219
