Geo,Year,ElectricityCI
Linn,2015,192.3159385
Malheur,2015,9.911320066
Marion,2015,159.5722004
Morrow,2015,16.63016504
Multnomah,2015,164.8200184
Polk,2015,117.4022346
Sherman,2015,187.2445178
Tillamook,2015,11.002778
Umatilla,2015,124.094305
Union,2015,9.911320066
Wallowa,2015,225.2911981
Wasco,2015,22.67492055
Washington,2015,154.3023328
Wheeler,2015,9.911320066
Yamhill,2015,112.8048815
Baker,2020,9.818396519
Benton,2020,152.8553504
Clackamas,2020,138.1324805
Clatsop,2020,181.5829013
Columbia,2020,10.55863495
Coos,2020,147.0153416
Crook,2020,140.4004451
Curry,2020,9.818396519
Deschutes,2020,113.1565209
Douglas,2020,157.3723797
Gilliam,2020,93.76542405
Grant,2020,9.818396519
Harney,2020,9.818396519
Hood River,2020,126.4335634
Jackson,2020,160.6136791
Jefferson,2020,168.7878013
Josephine,2020,182.045944
Klamath,2020,194.3780013
Lake,2020,103.0640787
Lane,2020,19.81004033
Lincoln,2020,76.23594807
Linn,2020,170.0446317
Malheur,2020,9.818396519
Marion,2020,141.9785704
Morrow,2020,16.3513944
Multnomah,2020,146.4767001
Polk,2020,105.8328854
Sherman,2020,165.6976996
Tillamook,2020,10.87992992
Umatilla,2020,111.5689457
Union,2020,9.818396519
Wallowa,2020,198.3091398
Wasco,2020,22.22920251
Washington,2020,137.461541
Wheeler,2020,9.818396519
Yamhill,2020,101.892297
Baker,2025,9.725472971
Benton,2025,133.4489235
Clackamas,2025,121.1798653
Clatsop,2025,157.3885493
Columbia,2025,10.44523672
Coos,2025,128.5822496
Crook,2025,123.0698358
Curry,2025,9.725472971
Deschutes,2025,100.3665657
Douglas,2025,137.2131147
Gilliam,2025,84.20731829
Grant,2025,9.725472971
Harney,2025,9.725472971
Hood River,2025,111.4307677
Jackson,2025,139.9141975
Jefferson,2025,146.725966
Josephine,2025,157.7744183
Klamath,2025,168.0511326
Lake,2025,91.95619716
Lane,2025,19.43362121
Lincoln,2025,69.59942164
Linn,2025,147.7733246
Malheur,2025,9.725472971
Marion,2025,124.3849402
Morrow,2025,16.07262375
Multnomah,2025,128.1333816
Polk,2025,94.26353609
Sherman,2025,144.1508813
Tillamook,2025,10.75708185
Umatilla,2025,99.04358637
Union,2025,9.725472971
Wallowa,2025,171.3270814
Wasco,2025,21.78348448
Washington,2025,120.6207491
Wheeler,2025,9.725472971
Yamhill,2025,90.97971243
Baker,2030,9.632549424
Benton,2030,114.0424969
Clackamas,2030,104.2272503
Clatsop,2030,133.1941975
Columbia,2030,10.33183849
Coos,2030,110.1491577
Crook,2030,105.7392267
Curry,2030,9.632549424
Deschutes,2030,87.57661058
Douglas,2030,117.0538498
Gilliam,2030,74.64921266
Grant,2030,9.632549424
Harney,2030,9.632549424
Hood River,2030,96.42797222
Jackson,2030,119.214716
Jefferson,2030,124.6641308
Josephine,2030,133.5028927
Klamath,2030,141.7242641
Lake,2030,80.84831576
Lane,2030,19.0572021
Lincoln,2030,62.96289534
Linn,2030,125.5020177
Malheur,2030,9.632549424
Marion,2030,106.7913102
Morrow,2030,15.79385311
Multnomah,2030,109.7900633
Polk,2030,82.6941869
Sherman,2030,122.604063
Tillamook,2030,10.63423377
Umatilla,2030,86.51822713
Union,2030,9.632549424
Wallowa,2030,144.3450232
Wasco,2030,21.33776645
Washington,2030,103.7799573
Wheeler,2030,9.632549424
Yamhill,2030,80.06712797
Baker,2035,9.539625877
Benton,2035,94.63607006
Clackamas,2035,87.27463513
Clatsop,2035,108.9998455
Columbia,2035,10.21844027
Coos,2035,91.71606571
Crook,2035,88.40861741
Curry,2035,9.539625877
Deschutes,2035,74.78665535
Douglas,2035,96.89458476
Gilliam,2035,65.09110691
Grant,2035,9.539625877
Harney,2035,9.539625877
Hood River,2035,81.42517657
Jackson,2035,98.51523442
Jefferson,2035,102.6022955
Josephine,2035,109.2313669
Klamath,2035,115.3973955
Lake,2035,69.74043423
Lane,2035,18.68078298
Lincoln,2035,56.32636892
Linn,2035,103.2307107
Malheur,2035,9.539625877
Marion,2035,89.19768007
Morrow,2035,15.51508247
Multnomah,2035,91.44674492
Polk,2035,71.12483759
Sherman,2035,101.0572447
Tillamook,2035,10.51138569
Umatilla,2035,73.99286776
Union,2035,9.539625877
Wallowa,2035,117.3629648
Wasco,2035,20.89204842
Washington,2035,86.93916538
Wheeler,2035,9.539625877
Yamhill,2035,69.15454339
Baker,2040,9.446702329
Benton,2040,75.22964338
Clackamas,2040,70.3220201
Clatsop,2040,84.80549369
Columbia,2040,10.10504204
Coos,2040,73.28297381
Crook,2040,71.07800828
Curry,2040,9.446702329
Deschutes,2040,61.99670024
Douglas,2040,76.73531984
Gilliam,2040,55.53300128
Grant,2040,9.446702329
Harney,2040,9.446702329
Hood River,2040,66.42238106
Jackson,2040,77.81575295
Jefferson,2040,80.54046036
Josephine,2040,84.95984128
Klamath,2040,89.07052702
Lake,2040,58.63255283
Lane,2040,18.30436387
Lincoln,2040,49.68984262
Linn,2040,80.95940381
Malheur,2040,9.446702329
Marion,2040,71.60405006
Morrow,2040,15.23631183
Multnomah,2040,73.10342662
Polk,2040,59.5554884
Sherman,2040,79.51042646
Tillamook,2040,10.38853761
Umatilla,2040,61.46750851
Union,2040,9.446702329
Wallowa,2040,90.38090654
Wasco,2040,20.44633038
Washington,2040,70.09837359
Wheeler,2040,9.446702329
Yamhill,2040,58.24195893
Baker,2045,9.353778782
Benton,2045,55.82321657
Clackamas,2045,53.36940493
Clatsop,2045,60.61114173
Columbia,2045,9.991643811
Coos,2045,54.84988179
Crook,2045,53.74739902
Curry,2045,9.353778782
Deschutes,2045,49.206745
Douglas,2045,56.57605481
Gilliam,2045,45.97489552
Grant,2045,9.353778782
Harney,2045,9.353778782
Hood River,2045,51.41958541
Jackson,2045,57.11627136
Jefferson,2045,58.47862506
Josephine,2045,60.68831552
Klamath,2045,62.74365839
Lake,2045,47.5246713
Lane,2045,17.92794475
Lincoln,2045,43.05331619
Linn,2045,58.68809679
Malheur,2045,9.353778782
Marion,2045,54.01041991
Morrow,2045,14.95754118
Multnomah,2045,54.76010819
Polk,2045,47.98613908
Sherman,2045,57.96360811
Tillamook,2045,10.26568953
Umatilla,2045,48.94214914
Union,2045,9.353778782
Wallowa,2045,63.39884815
Wasco,2045,20.00061235
Washington,2045,53.25758168
Wheeler,2045,9.353778782
Yamhill,2045,47.32937435
Baker,2050,9.260855234
Benton,2050,36.41678989
Clackamas,2050,36.41678989
Clatsop,2050,36.41678989
Columbia,2050,9.878245583
Coos,2050,36.41678989
Crook,2050,36.41678989
Curry,2050,9.260855234
Deschutes,2050,36.41678989
Douglas,2050,36.41678989
Gilliam,2050,36.41678989
Grant,2050,9.260855234
Harney,2050,9.260855234
Hood River,2050,36.41678989
Jackson,2050,36.41678989
Jefferson,2050,36.41678989
Josephine,2050,36.41678989
Klamath,2050,36.41678989
Lake,2050,36.41678989
Lane,2050,17.55152563
Lincoln,2050,36.41678989
Linn,2050,36.41678989
Malheur,2050,9.260855234
Marion,2050,36.41678989
Morrow,2050,14.67877054
Multnomah,2050,36.41678989
Polk,2050,36.41678989
Sherman,2050,36.41678989
Tillamook,2050,10.14284145
Umatilla,2050,36.41678989
Union,2050,9.260855234
Wallowa,2050,36.41678989
Wasco,2050,19.55489432
Washington,2050,36.41678989
Wheeler,2050,9.260855234
Yamhill,2050,36.41678989
