Geo,Year,MetroLandArea,TownLandArea,RuralAveDensity
Washington,2005,111.384375,1.7810125,0.50625
Wheeler,2005,0,1.621826563,0.0015625
Yamhill,2005,0,27.20346094,0.403125
Baker,2010,0,12.68935109,0.128125
Benton,2010,31.284375,0.535929688,0.2625
Clackamas,2010,91.2265625,16.09451219,0.428125
Clatsop,2010,0,35.765125,0.0953125
Columbia,2010,0,21.93724828,0.2265625
Coos,2010,0,34.75317969,0.221875
Crook,2010,0,14.78165625,0.0609375
Curry,2010,0,22.899125,0.1234375
Deschutes,2010,33.3234375,21.04628125,0.25625
Douglas,2010,0,43.31454844,0.2828125
Gilliam,2010,0,4.806064063,0.003125
Grant,2010,0,12.35170938,0.01875
Harney,2010,0,7.213984375,0.2640625
Hood River,2010,0,7.474984375,0.2765625
Jackson,2010,46.053125,3.661642188,0.409375
Jefferson,2010,0,7.288410938,0.3140625
Josephine,2010,16.5875,2.645046875,0.23125
Klamath,2010,0,40.18370313,0.0875
Lake,2010,0,6.072604688,0.1
Lane,2010,76.23125,29.45835938,0.25625
Lincoln,2010,0,29.77205781,0.1796875
Linn,2010,28.3625,23.83121203,0.1609375
Malheur,2010,0,15.36687813,0.1234375
Marion,2010,61.1015625,23.39877813,0.309375
Morrow,2010,0,10.95110469,0.2015625
Multnomah,2010,152.5859375,0,0.221875
Polk,2010,8.2125,13.94868594,0.2390625
Sherman,2010,0,3.348482813,0.0046875
Tillamook,2010,0,11.02877188,0.0640625
Umatilla,2010,0,50.67578125,0.1609375
Union,2010,0,12.55604844,0.3265625
Wallowa,2010,0,4.236554688,0.0609375
Wasco,2010,0,11.8780375,0.340625
Washington,2010,111.39375,1.993703125,0.50625
Wheeler,2010,0,1.621826563,0.0015625
Yamhill,2010,0,27.73298594,0.403125
Baker,2015,0,12.69202141,0.128125
Benton,2015,31.284375,0.535929688,0.2625
Clackamas,2015,91.30625,16.09451219,0.428125
Clatsop,2015,0,35.765125,0.0953125
Columbia,2015,0,22.50804516,0.2265625
Coos,2015,0,34.75317969,0.221875
Crook,2015,0,15.36434375,0.0609375
Curry,2015,0,22.899125,0.1234375
Deschutes,2015,33.4421875,21.10334375,0.25625
Douglas,2015,0,43.54373594,0.2828125
Gilliam,2015,0,5.276407813,0.003125
Grant,2015,0,12.35170938,0.01875
Harney,2015,0,7.213984375,0.2640625
Hood River,2015,0,7.474984375,0.2765625
Jackson,2015,46.2125,3.661642188,0.409375
