Geo,Year,PropSovDvmtDiverted
Hood River,2015,0.05
Jackson,2015,0.05
Jefferson,2015,0.05
Josephine,2015,0.05
Klamath,2015,0.05
Lake,2015,0.05
Lane,2015,0.11
Lincoln,2015,0.05
Linn,2015,0.08
Malheur,2015,0.05
Marion,2015,0.05
Morrow,2015,0.05
Multnomah,2015,0.12
Polk,2015,0.05
Sherman,2015,0.05
Tillamook,2015,0.05
Umatilla,2015,0.05
Union,2015,0.05
Wallowa,2015,0.05
Wasco,2015,0.05
Washington,2015,0.12
Wheeler,2015,0.05
Yamhill,2015,0.05
Baker,2020,0.07
Benton,2020,0.1
Clackamas,2020,0.15
Clatsop,2020,0.07
Columbia,2020,0.07
Coos,2020,0.07
Crook,2020,0.07
Curry,2020,0.07
Deschutes,2020,0.1
Douglas,2020,0.07
Gilliam,2020,0.07
Grant,2020,0.07
Harney,2020,0.07
Hood River,2020,0.07
Jackson,2020,0.07
Jefferson,2020,0.07
Josephine,2020,0.07
Klamath,2020,0.07
Lake,2020,0.07
Lane,2020,0.14
Lincoln,2020,0.07
Linn,2020,0.1
Malheur,2020,0.07
Marion,2020,0.07
Morrow,2020,0.07
Multnomah,2020,0.15
Polk,2020,0.07
Sherman,2020,0.07
Tillamook,2020,0.07
Umatilla,2020,0.07
Union,2020,0.07
Wallowa,2020,0.07
Wasco,2020,0.07
Washington,2020,0.15
Wheeler,2020,0.07
Yamhill,2020,0.07
Baker,2025,0.09
Benton,2025,0.13
Clackamas,2025,0.2
Clatsop,2025,0.09
Columbia,2025,0.09
Coos,2025,0.09
Crook,2025,0.09
Curry,2025,0.09
Deschutes,2025,0.13
Douglas,2025,0.09
Gilliam,2025,0.09
Grant,2025,0.09
Harney,2025,0.09
Hood River,2025,0.09
Jackson,2025,0.09
Jefferson,2025,0.09
Josephine,2025,0.09
Klamath,2025,0.09
Lake,2025,0.09
Lane,2025,0.18
Lincoln,2025,0.09
Linn,2025,0.13
Malheur,2025,0.09
Marion,2025,0.09
Morrow,2025,0.09
Multnomah,2025,0.2
Polk,2025,0.09
Sherman,2025,0.09
Tillamook,2025,0.09
Umatilla,2025,0.09
Union,2025,0.09
Wallowa,2025,0.09
Wasco,2025,0.09
Washington,2025,0.2
Wheeler,2025,0.09
Yamhill,2025,0.09
Baker,2030,0.12
Benton,2030,0.16
Clackamas,2030,0.24
Clatsop,2030,0.12
Columbia,2030,0.12
Coos,2030,0.12
Crook,2030,0.12
Curry,2030,0.12
Deschutes,2030,0.16
Douglas,2030,0.12
Gilliam,2030,0.12
Grant,2030,0.12
Harney,2030,0.12
Hood River,2030,0.12
Jackson,2030,0.12
Jefferson,2030,0.12
Josephine,2030,0.12
Klamath,2030,0.12
Lake,2030,0.12
Lane,2030,0.23
Lincoln,2030,0.12
Linn,2030,0.16
Malheur,2030,0.12
Marion,2030,0.12
Morrow,2030,0.12
Multnomah,2030,0.24
Polk,2030,0.12
Sherman,2030,0.12
Tillamook,2030,0.12
Umatilla,2030,0.12
Union,2030,0.12
Wallowa,2030,0.12
Wasco,2030,0.12
Washington,2030,0.24
Wheeler,2030,0.12
Yamhill,2030,0.12
Baker,2035,0.16
Benton,2035,0.2
Clackamas,2035,0.29
Clatsop,2035,0.16
Columbia,2035,0.16
Coos,2035,0.16
Crook,2035,0.16
Curry,2035,0.16
Deschutes,2035,0.2
Douglas,2035,0.16
Gilliam,2035,0.16
Grant,2035,0.16
Harney,2035,0.16
Hood River,2035,0.16
Jackson,2035,0.16
Jefferson,2035,0.16
Josephine,2035,0.16
Klamath,2035,0.16
Lake,2035,0.16
Lane,2035,0.28
Lincoln,2035,0.16
Linn,2035,0.2
Malheur,2035,0.16
Marion,2035,0.16
Morrow,2035,0.16
Multnomah,2035,0.29
Polk,2035,0.16
Sherman,2035,0.16
Tillamook,2035,0.16
Umatilla,2035,0.16
Union,2035,0.16
Wallowa,2035,0.16
Wasco,2035,0.16
Washington,2035,0.29
Wheeler,2035,0.16
Yamhill,2035,0.16
Baker,2040,0.2
Benton,2040,0.23
Clackamas,2040,0.33
Clatsop,2040,0.2
Columbia,2040,0.2
Coos,2040,0.2
Crook,2040,0.2
Curry,2040,0.2
Deschutes,2040,0.23
Douglas,2040,0.2
Gilliam,2040,0.2
Grant,2040,0.2
Harney,2040,0.2
Hood River,2040,0.2
Jackson,2040,0.2
Jefferson,2040,0.2
Josephine,2040,0.2
Klamath,2040,0.2
Lake,2040,0.2
Lane,2040,0.32
Lincoln,2040,0.2
Linn,2040,0.23
Malheur,2040,0.2
Marion,2040,0.2
Morrow,2040,0.2
Multnomah,2040,0.33
Polk,2040,0.2
Sherman,2040,0.2
Tillamook,2040,0.2
Umatilla,2040,0.2
Union,2040,0.2
Wallowa,2040,0.2
Wasco,2040,0.2
Washington,2040,0.33
Wheeler,2040,0.2
Yamhill,2040,0.2
Baker,2045,0.25
Benton,2045,0.27
Clackamas,2045,0.37
Clatsop,2045,0.25
Columbia,2045,0.25
Coos,2045,0.25
Crook,2045,0.25
Curry,2045,0.25
Deschutes,2045,0.27
Douglas,2045,0.25
Gilliam,2045,0.25
Grant,2045,0.25
Harney,2045,0.25
Hood River,2045,0.25
Jackson,2045,0.25
Jefferson,2045,0.25
Josephine,2045,0.25
Klamath,2045,0.25
Lake,2045,0.25
Lane,2045,0.36
Lincoln,2045,0.25
Linn,2045,0.27
Malheur,2045,0.25
Marion,2045,0.25
Morrow,2045,0.25
Multnomah,2045,0.37
Polk,2045,0.25
Sherman,2045,0.25
Tillamook,2045,0.25
Umatilla,2045,0.25
Union,2045,0.25
Wallowa,2045,0.25
Wasco,2045,0.25
Washington,2045,0.37
Wheeler,2045,0.25
Yamhill,2045,0.25
Baker,2050,0.3
Benton,2050,0.3
Clackamas,2050,0.4
Clatsop,2050,0.3
Columbia,2050,0.3
Coos,2050,0.3
Crook,2050,0.3
Curry,2050,0.3
Deschutes,2050,0.3
Douglas,2050,0.3
Gilliam,2050,0.3
Grant,2050,0.3
Harney,2050,0.3
Hood River,2050,0.3
Jackson,2050,0.3
Jefferson,2050,0.3
Josephine,2050,0.3
Klamath,2050,0.3
Lake,2050,0.3
Lane,2050,0.4
Lincoln,2050,0.3
Linn,2050,0.3
Malheur,2050,0.3
Marion,2050,0.3
Morrow,2050,0.3
Multnomah,2050,0.4
Polk,2050,0.3
Sherman,2050,0.3
Tillamook,2050,0.3
Umatilla,2050,0.3
Union,2050,0.3
Wallowa,2050,0.3
Wasco,2050,0.3
Washington,2050,0.4
Wheeler,2050,0.3
Yamhill,2050,0.3
