Geo,Year,AveHhSize,Prop1PerHh
Polk,2010,2.3232,0.2296055
Sherman,2010,2.0328,0.3059126
Tillamook,2010,2.1516,0.2908436
Umatilla,2010,2.4369,0.2473238
Union,2010,2.3072,0.2763546
Wallowa,2010,2.0789,0.3003511
Wasco,2010,2.3009,0.2876371
Washington,2010,2.439,0.2509727
Wheeler,2010,1.9207,0.3241167
Yamhill,2010,2.3834,0.2167502
Baker,2015,2.1683,0.312358
Benton,2015,2.2109,0.2823091
Clackamas,2015,2.3195,0.2406132
Clatsop,2015,2.1893,0.3152678
Columbia,2015,2.2842,0.233243
Coos,2015,2.1424,0.2977186
Crook,2015,2.2763,0.2412947
Curry,2015,2.0112,0.3235096
Deschutes,2015,2.2737,0.2410979
Douglas,2015,2.2089,0.2658307
Gilliam,2015,2.0313,0.3564815
Grant,2015,2.0949,0.303401
Harney,2015,2.1625,0.300156
Hood River,2015,2.3783,0.2379787
Jackson,2015,2.2424,0.2772762
Jefferson,2015,2.4042,0.221709
Josephine,2015,2.174,0.2834959
Klamath,2015,2.293,0.2731672
Lake,2015,2.132,0.3134991
Lane,2015,2.2123,0.2889577
Lincoln,2015,2.1127,0.3124088
Linn,2015,2.3359,0.2438577
Malheur,2015,2.3765,0.2602056
Marion,2015,2.4281,0.2503964
Morrow,2015,2.4418,0.1912666
Multnomah,2015,2.272,0.3264214
Polk,2015,2.3039,0.2296055
Sherman,2015,2.0101,0.3059126
Tillamook,2015,2.1406,0.2908436
Umatilla,2015,2.4064,0.2473238
Union,2015,2.3064,0.2763546
Wallowa,2015,2.05,0.3003511
Wasco,2015,2.2707,0.2876371
Washington,2015,2.4224,0.2509727
Wheeler,2015,1.8921,0.3241167
Yamhill,2015,2.353,0.2167502
Baker,2020,2.1585,0.312358
Benton,2020,2.1953,0.2823091
Clackamas,2020,2.2964,0.2406132
Clatsop,2020,2.1548,0.3152678
Columbia,2020,2.2501,0.233243
Coos,2020,2.1187,0.2977186
Crook,2020,2.2543,0.2412947
Curry,2020,1.9982,0.3235096
Deschutes,2020,2.256,0.2410979
Douglas,2020,2.1847,0.2658307
Gilliam,2020,2.0024,0.3564815
Grant,2020,2.0535,0.303401
Harney,2020,2.1299,0.300156
Hood River,2020,2.3516,0.2379787
Jackson,2020,2.2156,0.2772762
Jefferson,2020,2.3794,0.221709
Josephine,2020,2.1493,0.2834959
Klamath,2020,2.2625,0.2731672
Lake,2020,2.1126,0.3134991
Lane,2020,2.1801,0.2889577
Lincoln,2020,2.0876,0.3124088
Linn,2020,2.3111,0.2438577
Malheur,2020,2.3526,0.2602056
Marion,2020,2.4013,0.2503964
Morrow,2020,2.406,0.1912666
Multnomah,2020,2.2592,0.3264214
Polk,2020,2.2845,0.2296055
Sherman,2020,1.9875,0.3059126
Tillamook,2020,2.1296,0.2908436
Umatilla,2020,2.3759,0.2473238
Union,2020,2.3056,0.2763546
Wallowa,2020,2.0212,0.3003511
Wasco,2020,2.2405,0.2876371
Washington,2020,2.4058,0.2509727
Wheeler,2020,1.8635,0.3241167
Yamhill,2020,2.3226,0.2167502
Baker,2025,2.1496,0.312358
Benton,2025,2.1684,0.2823091
Clackamas,2025,2.2829,0.2406132
Clatsop,2025,2.135,0.3152678
Columbia,2025,2.2386,0.233243
Coos,2025,2.102,0.2977186
Crook,2025,2.2493,0.2412947
Curry,2025,1.997,0.3235096
Deschutes,2025,2.2502,0.2410979
Douglas,2025,2.1708,0.2658307
Gilliam,2025,1.9844,0.3564815
Grant,2025,2.0327,0.303401
Harney,2025,2.1103,0.300156
Hood River,2025,2.3366,0.2379787
Jackson,2025,2.202,0.2772762
Jefferson,2025,2.3614,0.221709
Josephine,2025,2.1386,0.2834959
Klamath,2025,2.2495,0.2731672
Lake,2025,2.0968,0.3134991
Lane,2025,2.1613,0.2889577
Lincoln,2025,2.0758,0.3124088
Linn,2025,2.3024,0.2438577
Malheur,2025,2.3391,0.2602056
Marion,2025,2.3906,0.2503964
Morrow,2025,2.4063,0.1912666
Multnomah,2025,2.2511,0.3264214
Polk,2025,2.2694,0.2296055
Sherman,2025,1.9733,0.3059126
Tillamook,2025,2.1245,0.2908436
Umatilla,2025,2.3659,0.2473238
Union,2025,2.2893,0.2763546
Wallowa,2025,2.0117,0.3003511
Wasco,2025,2.2332,0.2876371
Washington,2025,2.3968,0.2509727
Wheeler,2025,1.8586,0.3241167
Yamhill,2025,2.2994,0.2167502
Baker,2030,2.1407,0.312358
Benton,2030,2.1415,0.2823091
Clackamas,2030,2.2694,0.2406132
Clatsop,2030,2.1151,0.3152678
Columbia,2030,2.227,0.233243
Coos,2030,2.0853,0.2977186
Crook,2030,2.2443,0.2412947
Curry,2030,1.9958,0.3235096
Deschutes,2030,2.2444,0.2410979
Douglas,2030,2.157,0.2658307
Gilliam,2030,1.9665,0.3564815
Grant,2030,2.0119,0.303401
Harney,2030,2.0906,0.300156
Hood River,2030,2.3216,0.2379787
Jackson,2030,2.1883,0.2772762
Jefferson,2030,2.3435,0.221709
Josephine,2030,2.1278,0.2834959
Klamath,2030,2.2365,0.2731672
Lake,2030,2.081,0.3134991
Lane,2030,2.1425,0.2889577
Lincoln,2030,2.0641,0.3124088
Linn,2030,2.2936,0.2438577
Malheur,2030,2.3256,0.2602056
Marion,2030,2.38,0.2503964
Morrow,2030,2.4067,0.1912666
Multnomah,2030,2.2431,0.3264214
Polk,2030,2.2544,0.2296055
Sherman,2030,1.9592,0.3059126
Tillamook,2030,2.1194,0.2908436
Umatilla,2030,2.3558,0.2473238
Union,2030,2.2729,0.2763546
Wallowa,2030,2.0022,0.3003511
Wasco,2030,2.226,0.2876371
Washington,2030,2.3878,0.2509727
Wheeler,2030,1.8538,0.3241167
Yamhill,2030,2.2762,0.2167502
Baker,2035,2.1319,0.312358
Benton,2035,2.1146,0.2823091
Clackamas,2035,2.2559,0.2406132
Clatsop,2035,2.0953,0.3152678
Columbia,2035,2.2154,0.233243
Coos,2035,2.0686,0.2977186
Crook,2035,2.2394,0.2412947
Curry,2035,1.9946,0.3235096
Deschutes,2035,2.2386,0.2410979
Douglas,2035,2.1431,0.2658307
Gilliam,2035,1.9485,0.3564815
Grant,2035,1.9911,0.303401
Harney,2035,2.0709,0.300156
Hood River,2035,2.3066,0.2379787
Jackson,2035,2.1747,0.2772762
Jefferson,2035,2.3255,0.221709
Josephine,2035,2.117,0.2834959
Klamath,2035,2.2234,0.2731672
Lake,2035,2.0653,0.3134991
Lane,2035,2.1236,0.2889577
Lincoln,2035,2.0524,0.3124088
Linn,2035,2.2849,0.2438577
Malheur,2035,2.3121,0.2602056
Marion,2035,2.3693,0.2503964
Morrow,2035,2.407,0.1912666
Multnomah,2035,2.2351,0.3264214
Polk,2035,2.2393,0.2296055
Sherman,2035,1.945,0.3059126
Tillamook,2035,2.1142,0.2908436
Umatilla,2035,2.3458,0.2473238
Union,2035,2.2566,0.2763546
Wallowa,2035,1.9927,0.3003511
Wasco,2035,2.2188,0.2876371
Washington,2035,2.3788,0.2509727
Wheeler,2035,1.849,0.3241167
Yamhill,2035,2.253,0.2167502
Baker,2040,2.1286,0.312358
Benton,2040,2.0951,0.2823091
Clackamas,2040,2.246,0.2406132
Clatsop,2040,2.0912,0.3152678
Columbia,2040,2.2046,0.233243
Coos,2040,2.0689,0.2977186
Crook,2040,2.2211,0.2412947
Curry,2040,2.0011,0.3235096
Deschutes,2040,2.2352,0.2410979
Douglas,2040,2.139,0.2658307
Gilliam,2040,1.948,0.3564815
Grant,2040,1.9788,0.303401
Harney,2040,2.067,0.300156
Hood River,2040,2.2926,0.2379787
Jackson,2040,2.1668,0.2772762
Jefferson,2040,2.3134,0.221709
Josephine,2040,2.1135,0.2834959
Klamath,2040,2.2166,0.2731672
Lake,2040,2.0545,0.3134991
Lane,2040,2.1131,0.2889577
Lincoln,2040,2.0576,0.3124088
Linn,2040,2.2801,0.2438577
Malheur,2040,2.2988,0.2602056
Marion,2040,2.3622,0.2503964
Morrow,2040,2.3993,0.1912666
Multnomah,2040,2.2277,0.3264214
Polk,2040,2.2321,0.2296055
Sherman,2040,1.9214,0.3059126
Tillamook,2040,2.1233,0.2908436
Umatilla,2040,2.338,0.2473238
Union,2040,2.2617,0.2763546
Wallowa,2040,2.0007,0.3003511
Wasco,2040,2.2181,0.2876371
Washington,2040,2.3704,0.2509727
Wheeler,2040,1.8391,0.3241167
Yamhill,2040,2.2412,0.2167502
Baker,2045,2.1229,0.312358
Benton,2045,2.0884,0.2823091
Clackamas,2045,2.246,0.2406132
Clatsop,2045,2.0865,0.3152678
Columbia,2045,2.201,0.233243
Coos,2045,2.0652,0.2977186
Crook,2045,2.2139,0.2412947
