Geo,LdvFwyDvmtProp,LdvArtDvmtProp,LdvOthDvmtProp,HvyTrkFwyDvmtProp,HvyTrkArtDvmtProp,HvyTrkOthDvmtProp,BusFwyDvmtProp,BusArtDvmtProp,BusOthDvmtProp
Albany,0.394814704,0.442676106,0.16250919,0.452028197,0.398645294,0.149326508,0,0.69629864,0.30370136
Bend,0,0.728313589,0.272,0.452028197,0.398645294,0.149326508,0,0.69629864,0.30370136
Corvallis,0,0.727628957,0.282,0.452028197,0.398645294,0.149326508,0,0.69629864,0.30370136
Eugene,0.345595662,0.452289098,0.2,0.452028197,0.398645294,0.149326508,0.05,0.661483708,0.288516292
Grants Pass,0.490190619,0.316224656,0.193584725,0.452028197,0.398645294,0.149326508,0,0.69629864,0.30370136
Medford,0.287294927,0.453680117,0.257,0.452028197,0.398645294,0.149326508,0,0.69629864,0.30370136
Portland,0.373034154,0.403323592,0.23,0.452028197,0.398645294,0.149326508,0.15,0.591853844,0.258146156
Salem,0.371329349,0.488181591,0.15,0.452028197,0.398645294,0.149326508,0,0.69629864,0.30370136
None,0.394814704,0.442676106,0.16250919,0.452028197,0.398645294,0.149326508,0,0.69629864,0.30370136
