Geo,Year,FwyLaneMi,ArtLaneMi
Albany,2010,35,133
Bend,2010,48,163
Corvallis,2010,10,131
Eugene,2010,137,401
Grants Pass,2010,100,159
Portland,2010,535,2014
Medford,2010,115,418.59
Salem,2010,129,419
None,2010,35,133
