Year,HvyTrkIcevMpg,HvyTrkHevMpg,HvyTrkBevMpkwh
1990,5.800145564,NA,NA
1995,5.890939031,NA,NA
2000,6.016046746,NA,NA
2005,6.177355638,NA,NA
2010,6.3674949,7.68,0.4
2015,6.566238443,7.68,0.4
2020,6.799367756,8.16,0.5
2025,7.138946985,8.16,0.5
2030,7.61458106,8.4,0.5
2035,8.217416036,8.4,0.5
2040,8.822160612,8.64,0.5
2045,9.321114842,8.64,0.5
2050,9.728000385,8.88,0.5
