Geo,Year,FwyNoneCongChg.2005,FwyModCongChg.2005,FwyHvyCongChg.2005,FwySevCongChg.2005,FwyExtCongChg.2005,ArtNoneCongChg.2005,ArtModCongChg.2005,ArtHvyCongChg.2005,ArtSevCongChg.2005,ArtExtCongChg.2005
AAMPO,2010,0,0,0,0,0,0,0,0,0,0
AAMPO,2040,0,0,0,0,0,0,0,0,0,0
