Geo,Year,GrpAge0to14,GrpAge15to19,GrpAge20to29,GrpAge30to54,GrpAge55to64,GrpAge65Plus
AAMPO,2010,0,0,16,0,0,0
AAMPO,2040,0,0,16,0,0,0
