Geo,Year,HighCarSvcCost.2018,LowCarSvcCost.2018,AveCarSvcVehicleAge,LtTrkCarSvcSubProp,AutoCarSvcSubProp
AAMPO,2010,2,4,9,0.75,0.95
AAMPO,2040,2,4,9,0.75,0.95
