Year,HhFuelCI,CarSvcFuelCI,ComSvcFuelCI,HvyTrkFuelCI,TransitVanFuelCI,TransitBusFuelCI,TransitRailFuelCI
2010,97.23,97.23,98.71,99.2,97.23,NA,NA
2040,90.65016,90.65016,90.44798,94.1,90.65016,NA,NA
