Geo,Year,RampMeterDeployProp,IncidentMgtDeployProp,SignalCoordDeployProp,AccessMgtDeployProp,OtherFwyOpsDeployProp,OtherArtOpsDeployProp
AAMPO,2010,0,0,0.4,0.401785714,0,0
AAMPO,2040,0,0,0.4,0.5,0,0
