Geo,Year,VanPropIcev,VanPropHev,VanPropBev,BusPropIcev,BusPropHev,BusPropBev,RailPropIcev,RailPropHev,RailPropEv
AAMPO,2010,1,0,0,1,0,0,1,0,0
AAMPO,2040,1,0,0,1,0,0,1,0,0
