Year,CarSvcAutoPropIcev,CarSvcAutoPropHev,CarSvcAutoPropBev,CarSvcLtTrkPropIcev,CarSvcLtTrkPropHev,CarSvcLtTrkPropBev
2010,0.975,0.025,0.00E+00,0.995,0.005,0
2040,0.674,0.089,0.237,0.922,0.017,0.061
