Year,AutoPropIcev,AutoPropHev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropBev
1990,1,0,0,1,0,0
1995,1,0,0,1,0,0
2000,1,0,0,1,0,0
2005,0.988,0.012,0,1,0,0
2010,0.9999,0.0001,0,1,0,0
2015,0.988,0.012,0,0.995,0.005,0
2020,0.94,0.06,0,0.97,0.029,0.001
2025,0.842,0.155,0.003,0.909,0.09,0.001
2030,0.718,0.277,0.005,0.811,0.187,0.002
2035,0.602,0.388,0.01,0.704,0.293,0.003
2040,0.519,0.465,0.016,0.619,0.376,0.005
2045,0.467,0.509,0.024,0.565,0.428,0.007
2050,0.431,0.536,0.033,0.535,0.456,0.009
