Year,LdIce,LdHev,LdEv,LdFcv,HdIce
1990,0.1,0.1,0.1,0.1,0.1
1995,0.15,0.15,0.15,0.15,0.15
2000,0.2,0.2,0.2,0.2,0.2
2005,0.25,0.25,0.25,0.25,0.25
2010,0.3,0.3,0.3,0.3,0.3
2015,0.46,0.46,0.47,0.46,0.45
2020,0.56,0.57,0.58,0.57,0.56
2025,0.67,0.67,0.68,0.68,0.66
2030,0.76,0.76,0.77,0.76,0.75
2035,0.83,0.83,0.84,0.83,0.82
2040,0.88,0.88,0.89,0.89,0.88
2045,0.92,0.92,0.93,0.92,0.92
2050,0.95,0.95,0.95,0.95,0.95
