Year,AutoPropGasoline,AutoPropDiesel,AutoPropCng,LtTrkPropGasoline,LtTrkPropDiesel,LtTrkPropCng
1990,0.993,0.007,0,0.96,0.04,0
1995,0.993,0.007,0,0.96,0.04,0
2000,0.993,0.007,0,0.96,0.04,0
2005,0.993,0.007,0,0.96,0.04,0
2010,0.993,0.007,0,0.96,0.04,0
2015,0.993,0.007,0,0.96,0.04,0
2020,0.993,0.007,0,0.96,0.04,0
2025,0.993,0.007,0,0.96,0.04,0
2030,0.993,0.007,0,0.96,0.04,0
2035,0.993,0.007,0,0.96,0.04,0
2040,0.993,0.007,0,0.96,0.04,0
2045,0.993,0.007,0,0.96,0.04,0
2050,0.993,0.007,0,0.96,0.04,0
