Year,HvyTrkIcevMpg,HvyTrkHevMpg,HvyTrkBevMpkwh
1990,5.8,6.09,NA
1995,5.9,6.195,NA
2000,6,6.3,NA
2005,6.2,6.51,NA
2010,6.4,6.72,0.408697554
2015,6.6,6.93,0.421469353
2020,6.8,7.14,0.434241151
2025,7.1,7.573333333,0.453398849
2030,7.6,8.233333333,0.485328345
2035,8.2,9.02,0.523643741
2040,8.8,9.826666667,0.561959137
2045,9.3,10.54,0.593888633
2050,9.7,11.155,0.61943223
